PostcodeID;PostCodePK;PostCode;PostcodeNummers;PostcodeLetters;Straat;MinNummer;MaxNummer;Plaats;Gemeente;Provincie
1;6651EH_22;6651EH;6651;EH;Genechtstraat;22;32;Druten;Druten;Gelderland
2;1189WK_2;1189WK;1189;WK;De Wijde Blik;2;30;Amstelveen;Amstelveen;Noord-Holland
3;1065VL_3;1065VL;1065;VL;Jacob Geelstraat;3;11;Amsterdam;Amsterdam;Noord-Holland
4;8471RK_24;8471RK;8471;RK;Beatrixstraat;24;36;Wolvega;Weststellingwerf;Friesland
5;7231JH_78;7231JH;7231;JH;Breegraven;78;102;Warnsveld;Zutphen;Gelderland
6;6828AA_1;6828AA;6828;AA;Apeldoornsestraat;1;1;Arnhem;Arnhem;Gelderland
7;1951HL_4;1951HL;1951;HL;Witte Hekweg;4;88;Velsen-Noord;Velsen;Noord-Holland
8;1561AT_107;1561AT;1561;AT;Noorderhoofdstraat;107;189;Krommenie;Zaanstad;Noord-Holland
9;9202LB_1;9202LB;9202;LB;Donia;1;32;Drachten;Smallingerland;Friesland
10;4701LV_2;4701LV;4701;LV;Burgemeester Schoonheijtstraat;2;44;Roosendaal;Roosendaal;Noord-Brabant
11;1741JV_2;1741JV;1741;JV;George Breitnerstraat;2;1006;Schagen;Schagen;Noord-Holland
12;1433BL_1;1433BL;1433;BL;Voltastraat;1;11;Kudelstaart;Aalsmeer;Noord-Holland
13;5602BG_0;5602BG;5602;BG;Postbus;0;10000;Eindhoven;Eindhoven;Noord-Brabant
14;4191SE_2;4191SE;4191;SE;Rijksstraatweg;2;32;Geldermalsen;Geldermalsen;Gelderland
15;7326KV_601;7326KV;7326;KV;Barnewinkel;601;618;Apeldoorn;Apeldoorn;Gelderland
16;5966NA_7;5966NA;5966;NA;Nieuwe Peeldijk;7;63;America;Horst aan de Maas;Limburg
17;2523CN_542;2523CN;2523;CN;Goeverneurlaan;542;566;'s-Gravenhage;'s-Gravenhage;Zuid-Holland
18;6685AT_2;6685AT;6685;AT;Mariaplein;2;10;Haalderen;Lingewaard;Gelderland
19;1326EL_1;1326EL;1326;EL;Magnoliahof;1;8;Almere;Almere;Flevoland
20;1183NS_52;1183NS;1183;NS;Bankrashof;52;67;Amstelveen;Amstelveen;Noord-Holland
21;7553ZE_81;7553ZE;7553;ZE;Wethouder Kampstraat;81;99;Hengelo;Hengelo;Overijssel
22;2542EP_6;2542EP;2542;EP;Stoeldraaiersgaarde;6;22;'s-Gravenhage;'s-Gravenhage;Zuid-Holland
23;5737AS_26;5737AS;5737;AS;Servaasstraat;26;56;Lieshout;Laarbeek;Noord-Brabant
24;3431XE_2;3431XE;3431;XE;Zegelstede;2;7001;Nieuwegein;Nieuwegein;Utrecht
25;2022PA_2;2022PA;2022;PA;Nieuw Guineastraat;2;38;Haarlem;Haarlem;Noord-Holland
26;8355VD_1;8355VD;8355;VD;Kooiweg;1;15;Giethoorn;Steenwijkerland;Overijssel
27;3961CT_2;3961CT;3961;CT;Dr. Cuypersstraat;2;30;Wijk bij Duurstede;Wijk bij Duurstede;Utrecht
28;6265AA_1;6265AA;6265;AA;Burgemeester Wolfsstraat;1;42;Sint Geertruid;Eijsden-Margraten;Limburg
29;7914PB_31;7914PB;7914;PB;Zwarte Dijkje;31;49;Noordscheschut;Hoogeveen;Drenthe
30;4847AE_3;4847AE;4847;AE;Groenstraat;3;29;Teteringen;Breda;Noord-Brabant
31;7002AA_1;7002AA;7002;AA;Anna Blamanstraat;1;11;Doetinchem;Doetinchem;Gelderland
32;3344RD_2;3344RD;3344;RD;Amandelgaarde;2;36;Hendrik-Ido-Ambacht;Hendrik-Ido-Ambacht;Zuid-Holland
33;5431LX_28;5431LX;5431;LX;Buizerdhorst;28;69;Cuijk;Cuijk;Noord-Brabant
34;1087AZ_152;1087AZ;1087;AZ;Johan van der Keukenstraat;152;210;Amsterdam;Amsterdam;Noord-Holland
35;5683HW_1;5683HW;5683;HW;Frater S. Romboutsstraat;1;29;Best;Best;Noord-Brabant
36;1506KX_2;1506KX;1506;KX;Charley Tooropstraat;2;16;Zaandam;Zaanstad;Noord-Holland
37;9223NP_2;9223NP;9223;NP;W+óldstrjitte;2;23;Houtigehage;Smallingerland;Friesland
38;2134WN_2;2134WN;2134;WN;Thoornpolder;2;74;Hoofddorp;Haarlemmermeer;Noord-Holland
39;2251ZP_1;2251ZP;2251;ZP;Herman Gortersingel;1;18;Voorschoten;Voorschoten;Zuid-Holland
40;4651LE_1;4651LE;4651;LE;Primulastraat;1;16;Steenbergen;Steenbergen;Noord-Brabant
41;7381CG_15;7381CG;7381;CG;De Zweep;15;67;Klarenbeek;Apeldoorn;Gelderland
42;5406PH_2;5406PH;5406;PH;Karperdijk;2;34;Uden;Uden;Noord-Brabant
43;3454AB_1;3454AB;3454;AB;Pastoor Boelenslaan;1;11;De Meern;Utrecht;Utrecht
44;2082CB_2;2082CB;2082;CB;Duinweg of Duivelslaan;2;30;Santpoort-Zuid;Velsen;Noord-Holland
45;6325CV_1;6325CV;6325;CV;Kleinstraat;1;25;Berg en Terblijt;Valkenburg aan de Geul;Limburg
46;2725NZ_2;2725NZ;2725;NZ;Ibsenzijde;2;22;Zoetermeer;Zoetermeer;Zuid-Holland
47;6951DT_30;6951DT;6951;DT;van der Duyn van Maasdamstraat;30;54;Dieren;Rheden;Gelderland
48;3193TX_2;3193TX;3193;TX;Ajuinstraat;2;46;Hoogvliet Rotterdam;Rotterdam;Zuid-Holland
49;9619TC_2;9619TC;9619;TC;Slochterdijk;2;50;Froombosch;Slochteren;Groningen
50;4641EA_1;4641EA;4641;EA;Dwarsstraat;1;31;Ossendrecht;Woensdrecht;Noord-Brabant
51;9976VN_1;9976VN;9976;VN;Haven;1;50;Lauwersoog;De Marne;Groningen
52;1276XV_2;1276XV;1276;XV;Koedijk;2;48;Huizen;Huizen;Noord-Holland
53;3118LD_2;3118LD;3118;LD;Van der Duyn van Maasdamstraat;2;16;Schiedam;Schiedam;Zuid-Holland
54;2312XB_1;2312XB;2312;XB;Caeciliastraat;1;80;Leiden;Leiden;Zuid-Holland
55;2260AH_0;2260AH;2260;AH;Postbus;0;10000;Leidschendam;Leidschendam-Voorburg;Zuid-Holland
56;6865WP_2;6865WP;6865;WP;Hertenstraat;2;24;Doorwerth;Renkum;Gelderland
57;8226BW_117;8226BW;8226;BW;Oostzeestraat;117;151;Lelystad;Lelystad;Flevoland
58;3941VD_2;3941VD;3941;VD;van Galenlaan;2;42;Doorn;Utrechtse Heuvelrug;Utrecht
59;3466LE_1;3466LE;3466;LE;Mr. Pieter van Vollenhovenstraat;1;16;Waarder;Bodegraven-Reeuwijk;Zuid-Holland
60;9917PK_1;9917PK;9917;PK;Fromaweg;1;20;Wirdum Gn;Loppersum;Groningen
61;1688CH_54;1688CH;1688;CH;Dorpsstraat;54;84;Nibbixwoud;Medemblik;Noord-Holland
62;3161EZ_3;3161EZ;3161;EZ;Het Weegje;3;17;Rhoon;Albrandswaard;Zuid-Holland
63;2692AX_146;2692AX;2692;AX;Zandeveltweg;146;154;'s-Gravenzande;Westland;Zuid-Holland
64;9951HW_5;9951HW;9951;HW;Meeden;5;31;Winsum;Winsum;Groningen
65;7261SK_1;7261SK;7261;SK;Koedijk;1;5;Ruurlo;Berkelland;Gelderland
66;3607DR_697;3607DR;3607;DR;Fazantenkamp;697;720;Maarssen;Stichtse Vecht;Utrecht
67;1106RV_198;1106RV;1106;RV;Nieuwlandhof;198;215;Amsterdam Zuidoost;Amsterdam;Noord-Holland
68;3002EE_0;3002EE;3002;EE;Postbus;0;10000;Rotterdam;Rotterdam;Zuid-Holland
69;4655AC_91;4655AC;4655;AC;Dorpsweg;91;105;De Heen;Steenbergen;Noord-Brabant
70;9663HC_39;9663HC;9663;HC;Harm Heijeslaan;39;59;Nieuwe Pekela;Pekela;Groningen
71;6131JX_2;6131JX;6131;JX;Agricolastraat;2;158;Sittard;Sittard-Geleen;Limburg
72;8017BV_2;8017BV;8017;BV;Schellerdijk;2;20;Zwolle;Zwolle;Overijssel
73;1731XN_2;1731XN;1731;XN;Pieter Dekkerstraat;2;86;Winkel;Hollands Kroon;Noord-Holland
74;2694AW_43;2694AW;2694;AW;Minstreelhof;43;81;'s-Gravenzande;Westland;Zuid-Holland
75;5324JL_1;5324JL;5324;JL;Wordragensestraat;1;17;Ammerzoden;Maasdriel;Gelderland
76;4501PW_47;4501PW;4501;PW;Cathalijne Schans;47;53;Oostburg;Sluis;Zeeland
77;6678PE_47;6678PE;6678;PE;Oosterhoutsestraat;47;53;Oosterhout;Overbetuwe;Gelderland
78;1834DA_1;1834DA;1834;DA;de Helling;1;4;Sint Pancras;Langedijk;Noord-Holland
79;7151ZV_33;7151ZV;7151;ZV;Meidoornstraat;33;81;Eibergen;Berkelland;Gelderland
80;3223PG_1;3223PG;3223;PG;Sonatestraat;1;53;Hellevoetsluis;Hellevoetsluis;Zuid-Holland
81;4790AA_0;4790AA;4790;AA;Postbus;0;10000;Klundert;Moerdijk;Noord-Brabant
82;8271ZB_2;8271ZB;8271;ZB;van Diggelenweg;2;32;IJsselmuiden;Kampen;Overijssel
83;7415JJ_362;7415JJ;7415;JJ;Wezenland;362;432;Deventer;Deventer;Overijssel
84;3453MB_1;3453MB;3453;MB;Waver;1;4;De Meern;Utrecht;Utrecht
85;1784SZ_37;1784SZ;1784;SZ;Treilerstraat;37;56;Den Helder;Den Helder;Noord-Holland
86;4751KB_1;4751KB;4751;KB;Bieslook;1;27;Oud Gastel;Halderberge;Noord-Brabant
87;4337TL_220;4337TL;4337;TL;Meanderlaan;220;244;Middelburg;Middelburg;Zeeland
88;5042PW_1;5042PW;5042;PW;Kraaiendreef;1;14;Tilburg;Tilburg;Noord-Brabant
89;7548BJ_162;7548BJ;7548;BJ;Beckumerstraat;162;196;Enschede;Enschede;Overijssel
90;3766EC_2;3766EC;3766;EC;Di Lassostraat;2;124;Soest;Soest;Utrecht
91;9745DV_588;9745DV;9745;DV;Siersteenlaan;588;630;Groningen;Groningen;Groningen
92;7904KL_50;7904KL;7904;KL;Regulus;50;74;Hoogeveen;Hoogeveen;Drenthe
93;4707BA_155;4707BA;4707;BA;President Kennedylaan;155;181;Roosendaal;Roosendaal;Noord-Brabant
94;3404BR_1;3404BR;3404;BR;Bellefleurpad;1;2;IJsselstein;IJsselstein;Utrecht
95;7071JD_1;7071JD;7071;JD;Parkietstraat;1;19;Ulft;Oude IJsselstreek;Gelderland
96;3905WV_2;3905WV;3905;WV;Schaffelaar;2;56;Veenendaal;Veenendaal;Utrecht
97;2273JG_229;2273JG;2273;JG;Koningin Julianalaan;229;267;Voorburg;Leidschendam-Voorburg;Zuid-Holland
98;1452PL_17;1452PL;1452;PL;Monnickendammerrijweg;17;31;Ilpendam;Waterland;Noord-Holland
99;3054PC_4;3054PC;3054;PC;Hectorstraat;4;26;Rotterdam;Rotterdam;Zuid-Holland
100;4536HE_2;4536HE;4536;HE;Offenbachstraat;2;16;Terneuzen;Terneuzen;Zeeland
101;3136JL_1;3136JL;3136;JL;Rietgansstraat;1;29;Vlaardingen;Vlaardingen;Zuid-Holland
102;1624VH_26;1624VH;1624;VH;Gildeplein;26;60;Hoorn;Hoorn;Noord-Holland
103;7701RC_2;7701RC;7701;RC;Verlengde Zestiende Wijk;2;4;Dedemsvaart;Hardenberg;Overijssel
104;6546GJ_2202;6546GJ;6546;GJ;Horstacker;2202;2228;Nijmegen;Nijmegen;Gelderland
105;2912RB_37;2912RB;2912;RB;de Esdoorn;37;72;Nieuwerkerk aan den IJssel;Zuidplas;Zuid-Holland
106;5527CW_1;5527CW;5527;CW;Saturnus;1;29;Hapert;Bladel;Noord-Brabant
107;5103HT_49;5103HT;5103;HT;Weide;49;107;Dongen;Dongen;Noord-Brabant
108;3076GL_174;3076GL;3076;GL;Moli+¿reweg;174;240;Rotterdam;Rotterdam;Zuid-Holland
109;3994HS_108;3994HS;3994;HS;Stuwmeer;108;138;Houten;Houten;Utrecht
110;6662SE_1;6662SE;6662;SE;Kraaiekamp;1;35;Elst;Overbetuwe;Gelderland
111;3512BP_1;3512BP;3512;BP;Drift;1;5;Utrecht;Utrecht;Utrecht
112;3222EG_1;3222EG;3222;EG;Gaarweg;1;1;Hellevoetsluis;Hellevoetsluis;Zuid-Holland
113;5014GX_1;5014GX;5014;GX;Anemoonerf;1;1;Tilburg;Tilburg;Noord-Brabant
114;7513DK_10;7513DK;7513;DK;Janninksweg;10;38;Enschede;Enschede;Overijssel
115;6715CC_301;6715CC;6715;CC;Mari+½ndaal;301;412;Ede;Ede;Gelderland
116;1083CX_50;1083CX;1083;CX;Wamberg;50;67;Amsterdam;Amsterdam;Noord-Holland
117;6269AG_51;6269AG;6269;AG;Termaar;51;119;Margraten;Eijsden-Margraten;Limburg
118;1025AS_73;1025AS;1025;AS;Bosplaat;73;107;Amsterdam;Amsterdam;Noord-Holland
119;6642AA_1;6642AA;6642;AA;Augustuslaan;1;67;Beuningen Gld;Beuningen;Gelderland
120;2311XH_2;2311XH;2311;XH;Vreewijkstraat;2;28;Leiden;Leiden;Zuid-Holland
121;1161TZ_2;1161TZ;1161;TZ;Beukenlaan;2;10;Zwanenburg;Haarlemmermeer;Noord-Holland
122;1944VX_136;1944VX;1944;VX;Laan van Kana+ñn;136;210;Beverwijk;Beverwijk;Noord-Holland
123;9728CG_111;9728CG;9728;CG;Laan van de Vrede;111;131;Groningen;Groningen;Groningen
124;7441EA_1;7441EA;7441;EA;Duivenbreeweg;1;43;Nijverdal;Hellendoorn;Overijssel
125;3961AG_5;3961AG;3961;AG;Wilhelminastraat;5;47;Wijk bij Duurstede;Wijk bij Duurstede;Utrecht
126;3143CK_14;3143CK;3143;CK;Generaal de Wetstraat;14;40;Maassluis;Maassluis;Zuid-Holland
127;5374HW_1;5374HW;5374;HW;Spijkerstraat;1;4;Schaijk;Landerd;Noord-Brabant
128;2546SJ_121;2546SJ;2546;SJ;Baambruggestraat;121;167;'s-Gravenhage;'s-Gravenhage;Zuid-Holland
129;6131CM_54;6131CM;6131;CM;Rijksweg Noord;54;84;Sittard;Sittard-Geleen;Limburg
130;2251RA_1;2251RA;2251;RA;Bertus van Akenlaan;1;49;Voorschoten;Voorschoten;Zuid-Holland
131;6652DD_70;6652DD;6652;DD;Ekelen;70;98;Druten;Druten;Gelderland
132;8101GT_39;8101GT;8101;GT;de Mars;39;53;Raalte;Raalte;Overijssel
133;2512KE_431;2512KE;2512;KE;Westeinde;431;467;'s-Gravenhage;'s-Gravenhage;Zuid-Holland
134;6942AB_5;6942AB;6942;AB;Lockhorststraat;5;69;Didam;Montferland;Gelderland
135;3241PL_1;3241PL;3241;PL;Biesbosch;1;47;Middelharnis;Goeree-Overflakkee;Zuid-Holland
136;5253VS_2;5253VS;5253;VS;Mortelweg;2;2;Nieuwkuijk;Heusden;Noord-Brabant
137;8448SC_6;8448SC;8448;SC;Aletta Jacobsweg;6;25;Heerenveen;Heerenveen;Friesland
138;7662PD_5;7662PD;7662;PD;Bouwmansweg;5;5;Hezingen;Tubbergen;Overijssel
139;7038AS_1;7038AS;7038;AS;Pastoor Terwindtstraat;1;11;Zeddam;Montferland;Gelderland
140;2987TC_1;2987TC;2987;TC;Markstraat;1;35;Ridderkerk;Ridderkerk;Zuid-Holland
141;4223NG_100;4223NG;4223;NG;Dorpsweg;100;119;Hoornaar;Giessenlanden;Zuid-Holland
142;6651KE_2;6651KE;6651;KE;Kasteelpad;2;6;Druten;Druten;Gelderland
143;9451AH_1;9451AH;9451;AH;Stationsstraat;1;21;Rolde;Aa en Hunze;Drenthe
144;1315VA_1;1315VA;1315;VA;Belfort;1;19;Almere;Almere;Flevoland
145;7731XM_1;7731XM;7731;XM;Korhoenstraat;1;29;Ommen;Ommen;Overijssel
146;8252KM_2;8252KM;8252;KM;De Schagense Snees;2;34;Dronten;Dronten;Flevoland
147;9881TA_1;9881TA;9881;TA;Hoekje;1;12;Kommerzijl;Zuidhorn;Groningen
148;8251XG_49;8251XG;8251;XG;Ankerstraat;49;61;Dronten;Dronten;Flevoland
149;3076PG_2;3076PG;3076;PG;Dirk Smeetslaan;2;62;Rotterdam;Rotterdam;Zuid-Holland
150;2341LW_2;2341LW;2341;LW;Willinklaan;2;20;Oegstgeest;Oegstgeest;Zuid-Holland
151;6655AV_1;6655AV;6655;AV;Torensingel;1;33;Puiflijk;Druten;Gelderland
152;7912VE_1;7912VE;7912;VE;van Aspermonthof;1;6;Nieuweroord;Hoogeveen;Drenthe
153;3262LN_2;3262LN;3262;LN;2e Kruisweg;2;4;Oud-Beijerland;Oud-Beijerland;Zuid-Holland
154;8101NW_1;8101NW;8101;NW;Tuinksdijk;1;7;Raalte;Raalte;Overijssel
155;3605CT_255;3605CT;3605;CT;Antilopespoor;255;268;Maarssen;Stichtse Vecht;Utrecht
156;2984GD_1;2984GD;2984;GD;Stevinstraat;1;25;Ridderkerk;Ridderkerk;Zuid-Holland
157;2585HJ_1;2585HJ;2585;HJ;Prinsevinkenpark;1;10;'s-Gravenhage;'s-Gravenhage;Zuid-Holland
158;3700AK_0;3700AK;3700;AK;Postbus;0;10000;Zeist;Zeist;Utrecht
159;7531GR_1;7531GR;7531;GR;Hortensiastraat;1;49;Enschede;Enschede;Overijssel
160;8111NC_1;8111NC;8111;NC;Berghuisweg;1;19;Heeten;Raalte;Overijssel
161;1183PZ_440;1183PZ;1183;PZ;Fideliolaan;440;486;Amstelveen;Amstelveen;Noord-Holland
162;4206WG_1;4206WG;4206;WG;Anthonie Verstralenstraat;1;14;Gorinchem;Gorinchem;Zuid-Holland
163;1098TD_34;1098TD;1098;TD;Edisonstraat;34;41;Amsterdam;Amsterdam;Noord-Holland
164;1222HB_1;1222HB;1222;HB;Floris Vosstraat;1;31;Hilversum;Hilversum;Noord-Holland
165;5042ZB_17;5042ZB;5042;ZB;Baden Powelllaan;17;27;Tilburg;Tilburg;Noord-Brabant
166;5801VR_121;5801VR;5801;VR;Kempweg;121;161;Venray;Venray;Limburg
167;9761HT_26;9761HT;9761;HT;Rembrandtweg;26;58;Eelde;Tynaarlo;Drenthe
168;1223HD_1;1223HD;1223;HD;Saturnusstraat;1;27;Hilversum;Hilversum;Noord-Holland
169;7101WE_1;7101WE;7101;WE;Kloosterstraat;1;22;Winterswijk;Winterswijk;Gelderland
170;2131PC_87;2131PC;2131;PC;Gandhistraat;87;125;Hoofddorp;Haarlemmermeer;Noord-Holland
171;3261KT_2;3261KT;3261;KT;Oud-Beijerlandsedijk;2;44;Oud-Beijerland;Oud-Beijerland;Zuid-Holland
172;2551CC_392;2551CC;2551;CC;Landr+®straat;392;426;'s-Gravenhage;'s-Gravenhage;Zuid-Holland
173;5462GC_87;5462GC;5462;GC;N.C.B.-laan;87;123;Veghel;Veghel;Noord-Brabant
174;9401NE_2;9401NE;9401;NE;Oosterhoutstraat;2;32;Assen;Assen;Drenthe
175;2273KZ_293;2273KZ;2273;KZ;Laan van Nieuw Oosteinde;293;293;Voorburg;Leidschendam-Voorburg;Zuid-Holland
176;4762BA_1;4762BA;4762;BA;Agaat;1;23;Zevenbergen;Moerdijk;Noord-Brabant
177;4007WH_1;4007WH;4007;WH;F.J. Ebbensstraat;1;51;Tiel;Tiel;Gelderland
178;2311XW_24;2311XW;2311;XW;Witte Rozenstraat;24;44;Leiden;Leiden;Zuid-Holland
179;1063CS_30;1063CS;1063;CS;Burgemeester Fockstraat;30;36;Amsterdam;Amsterdam;Noord-Holland
180;6713TJ_4;6713TJ;6713;TJ;Smaragdstraat;4;76;Ede;Ede;Gelderland
181;7908XA_1;7908XA;7908;XA;Keizersmantel;1;81;Hoogeveen;Hoogeveen;Drenthe
182;7461BZ_10;7461BZ;7461;BZ;Bloemstraat;10;24;Rijssen;Rijssen-Holten;Overijssel
183;3132SJ_2;3132SJ;3132;SJ;Eykmanstraat;2;24;Vlaardingen;Vlaardingen;Zuid-Holland
184;5151RL_2;5151RL;5151;RL;Eendekooi;2;32;Drunen;Heusden;Noord-Brabant
185;4250DE_0;4250DE;4250;DE;Postbus;0;10000;Werkendam;Werkendam;Noord-Brabant
186;2051GE_267;2051GE;2051;GE;Bloemendaalseweg;267;281;Overveen;Bloemendaal;Noord-Holland
187;2131RM_43;2131RM;2131;RM;Dunantstraat;43;71;Hoofddorp;Haarlemmermeer;Noord-Holland
188;6191SX_1;6191SX;6191;SX;Annastraat;1;47;Beek;Beek;Limburg
189;3192SM_2;3192SM;3192;SM;Puitstraat;2;84;Hoogvliet Rotterdam;Rotterdam;Zuid-Holland
190;3582VP_55;3582VP;3582;VP;Ina Boudier-Bakkerlaan;55;57;Utrecht;Utrecht;Utrecht
191;1947GG_2;1947GG;1947;GG;Reguliersdwarsstraat;2;24;Beverwijk;Beverwijk;Noord-Holland
192;7447PP_1;7447PP;7447;PP;Knollenhaarweg;1;8;Hellendoorn;Hellendoorn;Overijssel
193;3904TH_2;3904TH;3904;TH;Petrus Paulus Rubensstraat;2;14;Veenendaal;Veenendaal;Utrecht
194;7651NE_77;7651NE;7651;NE;Almeloseweg;77;93;Tubbergen;Tubbergen;Overijssel
195;2103VS_31;2103VS;2103;VS;Sportparklaan;31;59;Heemstede;Heemstede;Noord-Holland
196;2033NP_1;2033NP;2033;NP;Emostraat;1;41;Haarlem;Haarlem;Noord-Holland
197;7415KS_2;7415KS;7415;KS;Koningin Wilhelminalaan;2;20;Deventer;Deventer;Overijssel
198;7676AH_82;7676AH;7676;AH;Hoofdweg;82;120;Westerhaar-Vriezenveensewijk;Twenterand;Overijssel
199;2722TH_795;2722TH;2722;TH;Willem van Cleeflaan;795;829;Zoetermeer;Zoetermeer;Zuid-Holland
200;3051VP_1;3051VP;3051;VP;Smaragdstraat;1;23;Rotterdam;Rotterdam;Zuid-Holland
201;7441KA_1;7441KA;7441;KA;Van Ittersumweg;1;17;Nijverdal;Hellendoorn;Overijssel
202;6662RE_86;6662RE;6662;RE;De Zuiling;86;128;Elst;Overbetuwe;Gelderland
203;7064GL_1;7064GL;7064;GL;Melkweg;1;65;Silvolde;Oude IJsselstreek;Gelderland
204;4462LM_1;4462LM;4462;LM;Glenn Millerlaan;1;43;Goes;Goes;Zeeland
205;3077RL_3;3077RL;3077;RL;Warmelostraat;3;53;Rotterdam;Rotterdam;Zuid-Holland
206;3315RH_205;3315RH;3315;RH;Van Doesburg-erf;205;243;Dordrecht;Dordrecht;Zuid-Holland
207;4600AZ_0;4600AZ;4600;AZ;Postbus;0;10000;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
208;6721MX_1;6721MX;6721;MX;Harnsedijkje;1;9;Bennekom;Ede;Gelderland
209;2225EE_1;2225EE;2225;EE;Stengelinstraat;1;6;Katwijk;Katwijk;Zuid-Holland
210;3124CN_1;3124CN;3124;CN;De Velden;1;91;Schiedam;Schiedam;Zuid-Holland
211;4197RM_64;4197RM;4197;RM;Rijksstraatweg;64;80;Buurmalsen;Geldermalsen;Gelderland
212;5684XM_2;5684XM;5684;XM;P.J. Haagenstraat;2;30;Best;Best;Noord-Brabant
213;1019SE_516;1019SE;1019;SE;Javakade;516;618;Amsterdam;Amsterdam;Noord-Holland
214;9403GS_2;9403GS;9403;GS;Hoekbree;2;44;Assen;Assen;Drenthe
215;9741GR_44;9741GR;9741;GR;Eglantierstraat;44;84;Groningen;Groningen;Groningen
216;1018LL_1;1018LL;1018;LL;Jacob Bontiusplaats;1;11;Amsterdam;Amsterdam;Noord-Holland
217;2275EH_114;2275EH;2275;EH;Heeswijkstraat;114;122;Voorburg;Leidschendam-Voorburg;Zuid-Holland
218;1017PH_219;1017PH;1017;PH;Lijnbaansgracht;219;243;Amsterdam;Amsterdam;Noord-Holland
219;4834XL_113;4834XL;4834;XL;Overakkerstraat;113;237;Breda;Breda;Noord-Brabant
220;6224VC_35;6224VC;6224;VC;Burgemeester Pijlsstraat;35;71;Maastricht;Maastricht;Limburg
221;1025TT_507;1025TT;1025;TT;Loenermark;507;518;Amsterdam;Amsterdam;Noord-Holland
222;3417HN_4;3417HN;3417;HN;Lieve Vrouwegracht;4;22;Montfoort;Montfoort;Utrecht
223;6655AR_8;6655AR;6655;AR;Houtsestraat;8;28;Puiflijk;Druten;Gelderland
224;4873DN_1;4873DN;4873;DN;Wagenhuis;1;24;Etten-Leur;Etten-Leur;Noord-Brabant
225;3870CC_0;3870CC;3870;CC;Postbus;0;10000;Hoevelaken;Nijkerk;Gelderland
226;7812LS_138;7812LS;7812;LS;Deverbrink;138;172;Emmen;Emmen;Drenthe
227;8154HD_42;8154HD;8154;HD;Lemelerveldseweg;42;50;Lemelerveld;Dalfsen;Overijssel
228;1007EH_0;1007EH;1007;EH;Postbus;0;10000;Amsterdam;Amsterdam;Noord-Holland
229;3514XD_1;3514XD;3514;XD;Jan van der Heijdenstraat;1;27;Utrecht;Utrecht;Utrecht
230;3331ME_3;3331ME;3331;ME;Schipperskade;3;75;Zwijndrecht;Zwijndrecht;Zuid-Holland
231;4851AH_1;4851AH;4851;AH;Rooiakker;1;20;Ulvenhout;Breda;Noord-Brabant
232;7333GJ_1;7333GJ;7333;GJ;Brucknerlaan;1;14;Apeldoorn;Apeldoorn;Gelderland
233;2741VV_46;2741VV;2741;VV;Koningin Wilhelminasingel;46;60;Waddinxveen;Waddinxveen;Zuid-Holland
234;1456NJ_77;1456NJ;1456;NJ;Noorderweg;77;90;Wijdewormer;Wormerland;Noord-Holland
235;2405EW_108;2405EW;2405;EW;Frederik Hendrikstraat;108;152;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland
236;6701BP_65;6701BP;6701;BP;Hoogstraat;65;77;Wageningen;Wageningen;Gelderland
237;4711JJ_31;4711JJ;4711;JJ;Rucphensestraat;31;81;St. Willebrord;Rucphen;Noord-Brabant
238;3362XT_39;3362XT;3362;XT;Vermeerstraat;39;77;Sliedrecht;Sliedrecht;Zuid-Holland
239;4511CA_9;4511CA;4511;CA;Burg. Gerritsenstraat;9;27;Breskens;Sluis;Zeeland
240;7009LE_51;7009LE;7009;LE;Markhorst;51;99;Doetinchem;Doetinchem;Gelderland
241;1851AC_24;1851AC;1851;AC;Westerweg;24;48;Heiloo;Heiloo;Noord-Holland
242;1422ZH_73;1422ZH;1422;ZH;Faunalaan;73;105;Uithoorn;Uithoorn;Noord-Holland
243;5095EE_1;5095EE;5095;EE;Lottersestraat;1;4;Hooge Mierde;Reusel-De Mierden;Noord-Brabant
244;4564DL_1;4564DL;4564;DL;Vrijheer;1;27;Sint Jansteen;Hulst;Zeeland
245;1941CN_17;1941CN;1941;CN;Meijendel;17;37;Beverwijk;Beverwijk;Noord-Holland
246;6880AH_0;6880AH;6880;AH;Postbus;0;10000;Velp;Rheden;Gelderland
247;5018EH_1;5018EH;5018;EH;Armhoefstraat;1;31;Tilburg;Tilburg;Noord-Brabant
248;5673TB_1;5673TB;5673;TB;Oude Landen;1;8;Nuenen;Nuenen, Gerwen en Nederwetten;Noord-Brabant
249;5242KD_60;5242KD;5242;KD;Tielekeshoeven;60;86;Rosmalen;'s-Hertogenbosch;Noord-Brabant
250;2251RG_2;2251RG;2251;RG;Cor van Osnabruggelaan;2;104;Voorschoten;Voorschoten;Zuid-Holland
251;1060SL_1;1060SL;1060;SL;Lirestraat;1;24;Amsterdam;Amsterdam;Noord-Holland
252;5706NN_1;5706NN;5706;NN;Dolstbeemden;1;7;Helmond;Helmond;Noord-Brabant
253;2182HA_1;2182HA;2182;HA;Haarlemmerstraat;1;19;Hillegom;Hillegom;Zuid-Holland
254;4625DC_2;4625DC;4625;DC;Oude Postbaan;2;2;Bergen op Zoom;Bergen op Zoom;Noord-Brabant
255;2295LN_1;2295LN;2295;LN;Pastoor Vinkesteynstraat;1;35;Kwintsheul;Westland;Zuid-Holland
